,LAUS Code,State FIPS Code,County FIPS Code,Year,Labor Force,Employed,Unemployed,Unemployment Rate,County Name,State,Employment Rate
95,CN0229000000000,2,290,2015,"2,395","1,968",427,17.8,Yukon-Koyukuk Census Area,AK,82.2
96,CN0400100000000,4,1,2015,"20,730","17,966","2,764",13.3,Apache County,AZ,86.7
97,CN0400300000000,4,3,2015,"50,586","46,891","3,695",7.3,Cochise County,AZ,92.7
98,CN0400500000000,4,5,2015,"73,669","68,861","4,808",6.5,Coconino County,AZ,93.5
99,CN0400700000000,4,7,2015,"21,321","19,633","1,688",7.9,Gila County,AZ,92.1
100,CN0400900000000,4,9,2015,"14,590","13,515","1,075",7.4,Graham County,AZ,92.6
101,CN0401100000000,4,11,2015,"4,068","3,745",323,7.9,Greenlee County,AZ,92.1
102,CN0401200000000,4,12,2015,"8,217","7,602",615,7.5,La Paz County,AZ,92.5
103,CN0401300000000,4,13,2015,"2,033,488","1,928,852","104,636",5.1,Maricopa County,AZ,94.9
104,CN0401500000000,4,15,2015,"80,004","73,633","6,371",8,Mohave County,AZ,92
105,CN0401700000000,4,17,2015,"40,931","36,963","3,968",9.7,Navajo County,AZ,90.3
106,CN0401900000000,4,19,2015,"467,826","442,099","25,727",5.5,Pima County,AZ,94.5
107,CN0402100000000,4,21,2015,"158,049","148,079","9,970",6.3,Pinal County,AZ,93.7
108,CN0402300000000,4,23,2015,"19,986","17,687","2,299",11.5,Santa Cruz County,AZ,88.5
109,CN0402500000000,4,25,2015,"96,735","91,286","5,449",5.6,Yavapai County,AZ,94.4
110,CN0402700000000,4,27,2015,"94,249","73,736","20,513",21.8,Yuma County,AZ,78.2
111,CN0500100000000,5,1,2015,"9,534","9,142",392,4.1,Arkansas County,AR,95.9
112,CN0500300000000,5,3,2015,"8,397","7,771",626,7.5,Ashley County,AR,92.5
113,CN0500500000000,5,5,2015,"16,288","15,407",881,5.4,Baxter County,AR,94.6
114,CN0500700000000,5,7,2015,"122,348","117,802","4,546",3.7,Benton County,AR,96.3
115,CN0500900000000,5,9,2015,"15,909","15,145",764,4.8,Boone County,AR,95.2
116,CN0501100000000,5,11,2015,"4,575","4,314",261,5.7,Bradley County,AR,94.3
117,CN0501300000000,5,13,2015,"2,429","2,300",129,5.3,Calhoun County,AR,94.7
118,CN0501500000000,5,15,2015,"12,711","12,138",573,4.5,Carroll County,AR,95.5
119,CN0501700000000,5,17,2015,"3,743","3,408",335,9,Chicot County,AR,91
120,CN0501900000000,5,19,2015,"9,663","9,144",519,5.4,Clark County,AR,94.6
121,CN0502100000000,5,21,2015,"6,323","5,911",412,6.5,Clay County,AR,93.5
122,CN0502300000000,5,23,2015,"9,655","8,996",659,6.8,Cleburne County,AR,93.2
123,CN0502500000000,5,25,2015,"3,371","3,184",187,5.5,Cleveland County,AR,94.5
124,CN0502700000000,5,27,2015,"9,599","8,982",617,6.4,Columbia County,AR,93.6
125,CN0502900000000,5,29,2015,"8,682","8,161",521,6,Conway County,AR,94
126,CN0503100000000,5,31,2015,"51,214","48,977","2,237",4.4,Craighead County,AR,95.6
127,CN0503300000000,5,33,2015,"26,962","25,582","1,380",5.1,Crawford County,AR,94.9
128,CN0503500000000,5,35,2015,"21,503","20,198","1,305",6.1,Crittenden County,AR,93.9
129,CN0503700000000,5,37,2015,"8,135","7,701",434,5.3,Cross County,AR,94.7
130,CN0503900000000,5,39,2015,"2,987","2,782",205,6.9,Dallas County,AR,93.1
131,CN0504100000000,5,41,2015,"5,579","5,178",401,7.2,Desha County,AR,92.8
132,CN0504300000000,5,43,2015,"8,115","7,568",547,6.7,Drew County,AR,93.3
133,CN0504500000000,5,45,2015,"60,161","57,396","2,765",4.6,Faulkner County,AR,95.4
134,CN0504700000000,5,47,2015,"7,442","7,080",362,4.9,Franklin County,AR,95.1
135,CN0504900000000,5,49,2015,"4,779","4,534",245,5.1,Fulton County,AR,94.9
136,CN0505100000000,5,51,2015,"40,111","37,950","2,161",5.4,Garland County,AR,94.6
137,CN0505300000000,5,53,2015,"8,293","7,921",372,4.5,Grant County,AR,95.5
138,CN0505500000000,5,55,2015,"20,036","19,012","1,024",5.1,Greene County,AR,94.9
139,CN0505700000000,5,57,2015,"9,965","9,483",482,4.8,Hempstead County,AR,95.2
140,CN0505900000000,5,59,2015,"14,260","13,552",708,5,Hot Spring County,AR,95
141,CN0506100000000,5,61,2015,"6,110","5,856",254,4.2,Howard County,AR,95.8
142,CN0506300000000,5,63,2015,"15,733","14,731","1,002",6.4,Independence County,AR,93.6
143,CN0506500000000,5,65,2015,"4,999","4,673",326,6.5,Izard County,AR,93.5
144,CN0506700000000,5,67,2015,"6,212","5,750",462,7.4,Jackson County,AR,92.6
145,CN0506900000000,5,69,2015,"28,882","26,872","2,010",7,Jefferson County,AR,93
146,CN0507100000000,5,71,2015,"10,446","9,854",592,5.7,Johnson County,AR,94.3
147,CN0507300000000,5,73,2015,"2,658","2,461",197,7.4,Lafayette County,AR,92.6
148,CN0507500000000,5,75,2015,"7,075","6,655",420,5.9,Lawrence County,AR,94.1
149,CN0507700000000,5,77,2015,"3,194","2,984",210,6.6,Lee County,AR,93.4
150,CN0507900000000,5,79,2015,"4,143","3,892",251,6.1,Lincoln County,AR,93.9
151,CN0508100000000,5,81,2015,"5,617","5,315",302,5.4,Little River County,AR,94.6
152,CN0508300000000,5,83,2015,"9,204","8,682",522,5.7,Logan County,AR,94.3
153,CN0508500000000,5,85,2015,"33,138","31,769","1,369",4.1,Lonoke County,AR,95.9
154,CN0508700000000,5,87,2015,"7,113","6,843",270,3.8,Madison County,AR,96.2
155,CN0508900000000,5,89,2015,"6,552","6,217",335,5.1,Marion County,AR,94.9
156,CN0509100000000,5,91,2015,"19,993","19,007",986,4.9,Miller County,AR,95.1
157,CN0509300000000,5,93,2015,"18,412","16,774","1,638",8.9,Mississippi County,AR,91.1
158,CN0509500000000,5,95,2015,"2,986","2,808",178,6,Monroe County,AR,94
159,CN0509700000000,5,97,2015,"3,271","3,054",217,6.6,Montgomery County,AR,93.4
160,CN0509900000000,5,99,2015,"3,675","3,495",180,4.9,Nevada County,AR,95.1
161,CN0510100000000,5,101,2015,"3,409","3,246",163,4.8,Newton County,AR,95.2
162,CN0510300000000,5,103,2015,"9,977","9,357",620,6.2,Ouachita County,AR,93.8
163,CN0510500000000,5,105,2015,"4,218","3,963",255,6,Perry County,AR,94
164,CN0510700000000,5,107,2015,"7,023","6,498",525,7.5,Phillips County,AR,92.5
165,CN0510900000000,5,109,2015,"4,231","3,987",244,5.8,Pike County,AR,94.2
166,CN0511100000000,5,111,2015,"10,105","9,548",557,5.5,Poinsett County,AR,94.5
167,CN0511300000000,5,113,2015,"8,362","7,887",475,5.7,Polk County,AR,94.3
168,CN0511500000000,5,115,2015,"29,886","28,333","1,553",5.2,Pope County,AR,94.8
169,CN0511700000000,5,117,2015,"3,744","3,571",173,4.6,Prairie County,AR,95.4
170,CN0511900000000,5,119,2015,"186,837","178,413","8,424",4.5,Pulaski County,AR,95.5
171,CN0512100000000,5,121,2015,"6,209","5,772",437,7,Randolph County,AR,93
172,CN0512300000000,5,123,2015,"8,992","8,351",641,7.1,St. Francis County,AR,92.9
173,CN0512500000000,5,125,2015,"56,229","53,970","2,259",4,Saline County,AR,96
174,CN0512700000000,5,127,2015,"4,546","4,333",213,4.7,Scott County,AR,95.3
175,CN0512900000000,5,129,2015,"3,039","2,870",169,5.6,Searcy County,AR,94.4
176,CN0513100000000,5,131,2015,"57,971","55,224","2,747",4.7,Sebastian County,AR,95.3
177,CN0513300000000,5,133,2015,"5,688","5,348",340,6,Sevier County,AR,94
178,CN0513500000000,5,135,2015,"6,028","5,618",410,6.8,Sharp County,AR,93.2
179,CN0513700000000,5,137,2015,"4,723","4,432",291,6.2,Stone County,AR,93.8
180,CN0513900000000,5,139,2015,"16,999","15,973","1,026",6,Union County,AR,94
181,CN0514100000000,5,141,2015,"6,453","6,026",427,6.6,Van Buren County,AR,93.4
182,CN0514300000000,5,143,2015,"115,733","111,702","4,031",3.5,Washington County,AR,96.5
183,CN0514500000000,5,145,2015,"34,681","32,557","2,124",6.1,White County,AR,93.9
184,CN0514700000000,5,147,2015,"3,043","2,851",192,6.3,Woodruff County,AR,93.7
185,CN0514900000000,5,149,2015,"9,001","8,551",450,5,Yell County,AR,95
186,CN0600100000000,6,1,2015,"819,008","779,897","39,111",4.8,Alameda County,CA,95.2
187,CN0600300000000,6,3,2015,549,508,41,7.5,Alpine County,CA,92.5
188,CN0600500000000,6,5,2015,"14,317","13,366",951,6.6,Amador County,CA,93.4
189,CN0600700000000,6,7,2015,"101,066","93,766","7,300",7.2,Butte County,CA,92.8
190,CN0600900000000,6,9,2015,"20,549","19,231","1,318",6.4,Calaveras County,CA,93.6
191,CN0601100000000,6,11,2015,"11,051","9,342","1,709",15.5,Colusa County,CA,84.5
192,CN0601300000000,6,13,2015,"544,617","517,048","27,569",5.1,Contra Costa County,CA,94.9
193,CN0601500000000,6,15,2015,"9,856","9,009",847,8.6,Del Norte County,CA,91.4
194,CN0601700000000,6,17,2015,"87,892","82,840","5,052",5.7,El Dorado County,CA,94.3
195,CN0601900000000,6,19,2015,"440,308","395,174","45,134",10.3,Fresno County,CA,89.7
196,CN0602100000000,6,21,2015,"12,964","11,827","1,137",8.8,Glenn County,CA,91.2
197,CN0602300000000,6,23,2015,"62,290","58,782","3,508",5.6,Humboldt County,CA,94.4
198,CN0602500000000,6,25,2015,"76,750","57,864","18,886",24.6,Imperial County,CA,75.4
199,CN0602700000000,6,27,2015,"9,081","8,552",529,5.8,Inyo County,CA,94.2
200,CN0602900000000,6,29,2015,"390,138","350,050","40,088",10.3,Kern County,CA,89.7
201,CN0603100000000,6,31,2015,"57,729","51,628","6,101",10.6,Kings County,CA,89.4
202,CN0603300000000,6,33,2015,"29,006","26,790","2,216",7.6,Lake County,CA,92.4
203,CN0603500000000,6,35,2015,"10,760","9,978",782,7.3,Lassen County,CA,92.7
204,CN0603700000000,6,37,2015,"4,973,756","4,641,054","332,702",6.7,Los Angeles County,CA,93.3
205,CN0603900000000,6,39,2015,"59,807","53,480","6,327",10.6,Madera County,CA,89.4
206,CN0604100000000,6,41,2015,"138,677","133,718","4,959",3.6,Marin County,CA,96.4
207,CN0604300000000,6,43,2015,"8,011","7,436",575,7.2,Mariposa County,CA,92.8
208,CN0604500000000,6,45,2015,"39,831","37,500","2,331",5.9,Mendocino County,CA,94.1
209,CN0604700000000,6,47,2015,"114,061","101,031","13,030",11.4,Merced County,CA,88.6
210,CN0604900000000,6,49,2015,"3,303","3,019",284,8.6,Modoc County,CA,91.4
211,CN0605100000000,6,51,2015,"8,239","7,731",508,6.2,Mono County,CA,93.8
212,CN0605300000000,6,53,2015,"218,274","200,452","17,822",8.2,Monterey County,CA,91.8
213,CN0605500000000,6,55,2015,"73,717","70,290","3,427",4.6,Napa County,CA,95.4
214,CN0605700000000,6,57,2015,"48,006","45,388","2,618",5.5,Nevada County,CA,94.5
215,CN0605900000000,6,59,2015,"1,584,296","1,513,060","71,236",4.5,Orange County,CA,95.5
216,CN0606100000000,6,61,2015,"176,339","167,367","8,972",5.1,Placer County,CA,94.9
217,CN0606300000000,6,63,2015,"7,891","7,076",815,10.3,Plumas County,CA,89.7
218,CN0606500000000,6,65,2015,"1,033,458","963,825","69,633",6.7,Riverside County,CA,93.3
219,CN0606700000000,6,67,2015,"684,577","643,295","41,282",6,Sacramento County,CA,94
220,CN0606900000000,6,69,2015,"29,759","27,495","2,264",7.6,San Benito County,CA,92.4
221,CN0607100000000,6,71,2015,"919,308","859,733","59,575",6.5,San Bernardino County,CA,93.5
222,CN0607300000000,6,73,2015,"1,548,794","1,467,686","81,108",5.2,San Diego County,CA,94.8
223,CN0607500000000,6,75,2015,"541,414","521,569","19,845",3.7,San Francisco County/city,CA,96.3
224,CN0607700000000,6,77,2015,"314,401","286,281","28,120",8.9,San Joaquin County,CA,91.1
225,CN0607900000000,6,79,2015,"138,913","132,302","6,611",4.8,San Luis Obispo County,CA,95.2
226,CN0608100000000,6,81,2015,"434,234","419,310","14,924",3.4,San Mateo County,CA,96.6
227,CN0608300000000,6,83,2015,"217,158","205,591","11,567",5.3,Santa Barbara County,CA,94.7
228,CN0608500000000,6,85,2015,"1,012,215","969,950","42,265",4.2,Santa Clara County,CA,95.8
229,CN0608700000000,6,87,2015,"143,227","132,434","10,793",7.5,Santa Cruz County,CA,92.5
230,CN0608900000000,6,89,2015,"74,122","68,325","5,797",7.8,Shasta County,CA,92.2
231,CN0609100000000,6,91,2015,"1,362","1,242",120,8.8,Sierra County,CA,91.2
232,CN0609300000000,6,93,2015,"17,884","16,199","1,685",9.4,Siskiyou County,CA,90.6
233,CN0609500000000,6,95,2015,"204,869","192,237","12,632",6.2,Solano County,CA,93.8
234,CN0609700000000,6,97,2015,"257,659","246,028","11,631",4.5,Sonoma County,CA,95.5
235,CN0609900000000,6,99,2015,"240,986","217,971","23,015",9.6,Stanislaus County,CA,90.4
236,CN0610100000000,6,101,2015,"44,734","39,925","4,809",10.8,Sutter County,CA,89.2
237,CN0610300000000,6,103,2015,"25,019","23,029","1,990",8,Tehama County,CA,92
238,CN0610500000000,6,105,2015,"5,141","4,739",402,7.8,Trinity County,CA,92.2
239,CN0610700000000,6,107,2015,"202,126","178,491","23,635",11.7,Tulare County,CA,88.3
240,CN0610900000000,6,109,2015,"21,532","20,005","1,527",7.1,Tuolumne County,CA,92.9
241,CN0611100000000,6,111,2015,"427,235","402,977","24,258",5.7,Ventura County,CA,94.3
242,CN0611300000000,6,113,2015,"104,154","97,384","6,770",6.5,Yolo County,CA,93.5
243,CN0611500000000,6,115,2015,"27,726","25,135","2,591",9.3,Yuba County,CA,90.7
244,CN0800100000000,8,1,2015,"247,743","237,372","10,371",4.2,Adams County,CO,95.8
245,CN0800300000000,8,3,2015,"7,648","7,267",381,5,Alamosa County,CO,95
246,CN0800500000000,8,5,2015,"334,380","322,380","12,000",3.6,Arapahoe County,CO,96.4
247,CN0800700000000,8,7,2015,"6,011","5,777",234,3.9,Archuleta County,CO,96.1
248,CN0800900000000,8,9,2015,"1,971","1,932",39,2,Baca County,CO,98
249,CN0801100000000,8,11,2015,"1,732","1,666",66,3.8,Bent County,CO,96.2
250,CN0801300000000,8,13,2015,"176,818","171,415","5,403",3.1,Boulder County,CO,96.9
251,CN0801400000000,8,14,2015,"35,546","34,415","1,131",3.2,Broomfield County/city,CO,96.8
252,CN0801500000000,8,15,2015,"8,494","8,215",279,3.3,Chaffee County,CO,96.7
253,CN0801700000000,8,17,2015,"1,011",985,26,2.6,Cheyenne County,CO,97.4
254,CN0801900000000,8,19,2015,"5,545","5,349",196,3.5,Clear Creek County,CO,96.5
255,CN0802100000000,8,21,2015,"3,596","3,398",198,5.5,Conejos County,CO,94.5
256,CN0802300000000,8,23,2015,"1,621","1,521",100,6.2,Costilla County,CO,93.8
257,CN0802500000000,8,25,2015,"1,353","1,295",58,4.3,Crowley County,CO,95.7
258,CN0802700000000,8,27,2015,"1,988","1,921",67,3.4,Custer County,CO,96.6
259,CN0802900000000,8,29,2015,"13,432","12,693",739,5.5,Delta County,CO,94.5
260,CN0803100000000,8,31,2015,"375,631","362,250","13,381",3.6,Denver County/city,CO,96.4
261,CN0803300000000,8,33,2015,"1,323","1,283",40,3,Dolores County,CO,97
262,CN0803500000000,8,35,2015,"172,204","167,066","5,138",3,Douglas County,CO,97
263,CN0803700000000,8,37,2015,"32,755","31,765",990,3,Eagle County,CO,97
264,CN0803900000000,8,39,2015,"13,264","12,862",402,3,Elbert County,CO,97
265,CN0804100000000,8,41,2015,"307,595","293,988","13,607",4.4,El Paso County,CO,95.6
266,CN0804300000000,8,43,2015,"14,489","13,627",862,5.9,Fremont County,CO,94.1
267,CN0804500000000,8,45,2015,"30,462","29,247","1,215",4,Garfield County,CO,96
268,CN0804700000000,8,47,2015,"3,399","3,297",102,3,Gilpin County,CO,97
269,CN0804900000000,8,49,2015,"9,056","8,775",281,3.1,Grand County,CO,96.9
270,CN0805100000000,8,51,2015,"9,793","9,515",278,2.8,Gunnison County,CO,97.2
271,CN0805300000000,8,53,2015,440,427,13,3,Hinsdale County,CO,97
272,CN0805500000000,8,55,2015,"2,366","2,190",176,7.4,Huerfano County,CO,92.6
273,CN0805700000000,8,57,2015,834,804,30,3.6,Jackson County,CO,96.4
274,CN0805900000000,8,59,2015,"308,899","298,400","10,499",3.4,Jefferson County,CO,96.6
275,CN0806100000000,8,61,2015,791,771,20,2.5,Kiowa County,CO,97.5
276,CN0806300000000,8,63,2015,"4,322","4,222",100,2.3,Kit Carson County,CO,97.7
277,CN0806500000000,8,65,2015,"4,567","4,397",170,3.7,Lake County,CO,96.3
278,CN0806700000000,8,67,2015,"29,862","28,871",991,3.3,La Plata County,CO,96.7
279,CN0806900000000,8,69,2015,"180,622","174,867","5,755",3.2,Larimer County,CO,96.8
280,CN0807100000000,8,71,2015,"6,124","5,793",331,5.4,Las Animas County,CO,94.6
281,CN0807300000000,8,73,2015,"2,169","2,098",71,3.3,Lincoln County,CO,96.7
282,CN0807500000000,8,75,2015,"10,935","10,614",321,2.9,Logan County,CO,97.1
283,CN0807700000000,8,77,2015,"71,758","67,929","3,829",5.3,Mesa County,CO,94.7
284,CN0807900000000,8,79,2015,444,429,15,3.4,Mineral County,CO,96.6
285,CN0808100000000,8,81,2015,"7,104","6,793",311,4.4,Moffat County,CO,95.6
286,CN0808300000000,8,83,2015,"12,330","11,655",675,5.5,Montezuma County,CO,94.5
287,CN0808500000000,8,85,2015,"19,319","18,379",940,4.9,Montrose County,CO,95.1
288,CN0808700000000,8,87,2015,"14,669","14,132",537,3.7,Morgan County,CO,96.3
289,CN0808900000000,8,89,2015,"7,877","7,437",440,5.6,Otero County,CO,94.4
290,CN0809100000000,8,91,2015,"2,154","2,064",90,4.2,Ouray County,CO,95.8
291,CN0809300000000,8,93,2015,"9,370","9,060",310,3.3,Park County,CO,96.7
292,CN0809500000000,8,95,2015,"2,358","2,304",54,2.3,Phillips County,CO,97.7
293,CN0809700000000,8,97,2015,"10,737","10,337",400,3.7,Pitkin County,CO,96.3
294,CN0809900000000,8,99,2015,"5,812","5,586",226,3.9,Prowers County,CO,96.1
295,CN0810100000000,8,101,2015,"71,657","67,755","3,902",5.4,Pueblo County,CO,94.6
296,CN0810300000000,8,103,2015,"2,805","2,663",142,5.1,Rio Blanco County,CO,94.9
297,CN0810500000000,8,105,2015,"4,861","4,566",295,6.1,Rio Grande County,CO,93.9
298,CN0810700000000,8,107,2015,"14,282","13,835",447,3.1,Routt County,CO,96.9
299,CN0810900000000,8,109,2015,"3,075","2,893",182,5.9,Saguache County,CO,94.1
